date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
2018-08-24,blue,"Intuition, Stand Start",crimp,face,dyno,V4,Chris Summit,,Mount Tamalpais,outdoors
2018-08-24,green,Right Arete,"jug, crimp",face,natural,V2,,,Mount Tamalpais,outdoors
2018-08-24,blue,Girl Power,crimp,face,natural,V6,,,Mount Tamalpais,outdoors
2018-09-02,orange,The Pearl,crimp,face,natural,V5,Randal Grandstaff,1978,Red Rocks,outdoors
2018-09-02,green,Jenna’s Jewelry,jug,face,dyno,V4,,,Red Rocks,outdoors
2018-09-03,blue,"Thread Problem, Right Exit",crimp,face,natural,V1,,,Mount Charleston,outdoors
2018-09-11,green,Face climb,crimp,face,natural,V1,FA,2018,"Bishop, Sky Rock Area",outdoors
2018-09-23,green,Emma’s Problem,crimp,overhang,natural,V2,,,Bishop Sad Boulders,outdoors
2018-09-23,blue,The Fang,crimp,cave,natural,V4,Zach Shields,,Bishop Sad Boulders,outdoors
2018-09-24,green,City of Daggers,crimp,face,natural,V1,FA,2018,"Bishop, Sky Rock Area",outdoors
2018-10-22,orange,"Dead End, Right Exit",crimp,face,natural,V6,,,"Mitake Boulders, Japan",outdoors
2018-12-01,green,Brittle Skidaddle,crimp,face,natural,V0,FA,,"Bishop, Sky Rock Area",outdoors
2018-12-08,orange,French Press,"crimp, sloper",slab,natural,V6,Tim Medina,,Bishop Sad Boulders,outdoors
2018-12-10,blue,Black Magic,crimp,slab,natural,V3,,,Bishop Happy Boulders,outdoors
2019-01-10,orange,Seven Spanish Angels,pinch,face,dyno,V6,"Jason Jackson, Greg Haverstock",1999,Bishop Buttermilks,outdoors
2019-01-27,red,Static Reach,"crimp, pinch",overhang,natural,V8,,,Castle Rock,outdoors
2019-02-17,blue,Warm Up Arete,crimp,arete,natural,V3,,,Henderson Boulders,outdoors
2019-02-18,green,Unnamed Left Face on the Downstream Boulders,crimp,face,natural,V2,,,Henderson Boulders,outdoors
2019-02-18,orange,Warm Enough,jug,cave,natural,V5,,,Henderson Boulders,outdoors
2019-02-18,green,Fleur de Lis,jug,slab,natural,V0,,,Keyhole Canyon,outdoors
2019-02-18,green,Left Chunky Face,crimp,face,natural,V1,,,Keyhole Canyon,outdoors
2019-02-18,green,Plastic Man,"jug, crimp",face,natural,V2,,,Keyhole Canyon,outdoors
2019-02-19,blue,Joseph,crimp,face,natural,V3,,,Bishop Happy Boulders,outdoors
2019-02-20,orange,Angel Dyno,"jug, crimp",face,dyno,V7,John Long,1980,Red Rocks,outdoors
