index,date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
200121,2017-12-31,blue,Hauck a Loogie,crimp,overhang,natural,V3,,,Bishop Sad Boulders,outdoor
200122,2017-12-31,green,Flush VB,jug,slab,natural,V0,,,Bishop Sad Boulders,outdoor
200123,2017-12-31,orange,The Gleaner,crimp,overhang,natural,V6,Peter Croft,,Bishop Happy Boulders,outdoor
200124,2018-01-01,green,Unnamed Sunshine Slab,crimp,slab,natural,V0,,,Bishop Buttermilks,outdoor
200125,2018-01-01,green,Good Morning Sunshine,crimp,slab,natural,V1,,,Bishop Buttermilks,outdoor
200126,2018-01-01,blue,Green Wall Essential,crimp,face,natural,V2,,,Bishop Buttermilks,outdoor
200127,2018-01-01,blue,Iron Man Traverse,jug,overhang,natural,V4,Tony Pupo,,Bishop Buttermilks,outdoor
200128,2018-01-01,blue,Robinson’s Rubber Tester,sloper,slab,natural,V0,,,Bishop Buttermilks,outdoor
200129,2018-01-02,blue,Maximum Relaxum,jug,cave,natural,V3,,,Bishop Sad Boulders,outdoor
200130,2018-01-03,blue,"Buttermilks Stem, Stand Start",sloper,corner,natural,V1,,,Bishop Buttermilks,outdoor
200131,2018-01-03,blue,"Buttermilks Stem, Sit Start","jug, sloper",overhang,natural,V4,,,Bishop Buttermilks,outdoor
200132,2018-03-12,green,Run and Jump in the Nature Nazi Area,jug,face,comp,V0,,,Castle Rock,outdoor
200133,2018-03-12,green,"Naked Nazi, Stand Start",crimp,arete,natural,V2,,,Castle Rock,outdoor
200134,2018-04-01,green,Totty Corridor Traverse,crimp,face,natural,V1,,,Bishop Happy Boulders,outdoor
200135,2018-04-01,green,Strange Quotations,jug,face,natural,V0,,,Bishop Happy Boulders,outdoor
200136,2018-04-01,blue,"Exit the Rat, Sit Start",crimp,face,natural,V2,,,Bishop Happy Boulders,outdoor
200137,2018-04-01,green,Yo Basecamp,crimp,slab,natural,V0,,,Bishop Buttermilks,outdoor
200138,2018-04-01,blue,"Birthday Left, Sit Start",crimp,face,natural,V1,,,Bishop Buttermilks,outdoor
200139,2018-04-01,green,Hero Roof,jug,overhang,natural,V0,,,Bishop Buttermilks,outdoor
200140,2018-04-02,green,"Big Brown Slab, East Center Face",crimp,face,natural,V0,,,Bishop Sad Boulders,outdoor
200141,2018-04-16,green,Slap Happy,jug,overhang,natural,V3,Chris Tracy,2003,Bishop Happy Boulders,outdoor
200142,2018-04-23,green,Overhanging Lieback,jug,overhang,natural,V2,,,Castle Rock,outdoor
200143,2018-04-23,green,"The Direct, Nature Nazi Boulders",crimp,overhang,natural,V2,,,Castle Rock,outdoor
200144,2018-04-23,blue,Domino Arete,crimp,face,natural,V3,,,Castle Rock,outdoor
200145,2018-04-29,orange,Scary Overhang,crimp,overhang,natural,V5,,,Grizzly Peak,outdoor
200146,2018-05-21,blue,The Ramp,crimp,overhang,natural,V4,Nat Smale?,,Berkeley Mortar Rock,outdoor
200147,2018-05-28,orange,Boulder Basin Dyno,crimp,face,dyno,V5,,,Black Mountain,outdoor
200148,2018-05-28,blue,The Walrus,jug,overhang,natural,V4,,,Black Mountain,outdoor
200149,2018-05-29,green,Dragon Scales,jug,slab,natural,V0,,,Joshua Tree,outdoor
200150,2018-06-23,blue,"Rainbow Boulder B, Resolution",jug,overhang,natural,V4,,,"North Lake Tahoe, Rainbow",outdoor
200151,2018-06-23,green,"Rainbow Boulder B, Unnamed Traverse",crimp,face,natural,V2,,,"North Lake Tahoe, Rainbow",outdoor
200152,2018-06-23,blue,"Rainbow Boulder C, Wein’s Law","crimp, jug",face,natural,V4,,,"North Lake Tahoe, Rainbow",outdoor
200153,2018-06-23,orange,"Rainbow Boulder A, Continuum",crimp,arete,dyno,V7,,,"North Lake Tahoe, Rainbow",outdoor
200154,2018-07-02,blue,Goat Rock,jug,slab,natural,V0,,,Goat Rock Beach,outdoor
200155,2018-07-02,blue,Lamb Boulder Traverse,"crimp, jug",overhang,natural,V4,,,Goat Rock Beach,outdoor
