date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
2018-01-06,orange,"Orange volumes on the wave, no hands entire route",crimp,slab,natural,V6,,,Dogpatch,indoor
2018-01-13,pink,"Pink jugs to crimps, easy topout, Comp Problem # 50","jug, crimp",overhang,natural,V5,,,Dogpatch,indoor
2018-01-15,blue,Blue comp problem with a dyno and a crimp,crimp,overhang,natural,V8,Radu Popescu,,Dogpatch,indoor
2018-01-15,blue,"Blue crimps, easy intro, hard deadpoint finish",crimp,overhang,natural,V9,Justin Alarcon?,,Dogpatch,indoor
2018-01-17,purple,Purple grapes on the slab,crimp,slab,natural,V5,Radu Popescu,,Dogpatch,indoor
2018-01-20,green,"Green crimps, traverse left, difficult finish",crimp,face,natural,V6,,,The Cliffs at LIC,indoor
2018-01-28,blue,"Blue, two deadpoint moves on crimps underneath the arch, eases up on flakes to a finish jug","crimp, jug",overhang,natural,V8,Ari,,Dogpatch,indoor
2018-02-11,pink,"Pink crimps, rose move to an arete, then a tricky lockoff to a sloper crimp",crimp,face,natural,V10,Nilo Batle,,Dogpatch,indoor
2018-02-13,pink,"Pink crimps to jugs, full campus","crimp, jug",overhang,natural,V6,Max Krimmer,,Dogpatch,indoor
2018-02-24,purple,"Purple dyno to a jug, then up to a plate crimps, then top",jug,face,dyno,V6,Nick Noel,,Dogpatch,indoor
2018-02-27,yellow,Yellow step-up dyno eliminate,jug,face,comp,V5,Zak Grinstead,,Dogpatch,indoor
2018-03-03,blue,"Blue crimps on the cave, full campus",crimp,overhang,natural,V6,Sean Keehan,,Dogpatch,indoor
2018-03-09,black,"Black slopers, come out from under the roof, campus to another sloper, mantle around an arete on a pinch",sloper,cave,natural,V8,Zak Grinstead,,Dogpatch,indoor
2018-03-18,green,"Green so-ill slopers, easy beginning, sketchy top traverse",sloper,face,natural,V8,Zak Grinstead,,Dogpatch,indoor
2018-03-27,purple,Purple run and jump on pinches,pinch,slab,comp,V5,Nick Noel,,Dogpatch,indoor
2018-03-27,black,"Black pinches, dyno for jug at the end",pinch,face,dyno,V6,Ben Polanco,,Dogpatch,indoor
2018-04-09,green,Green everything,"crimp, pinch, sloper",overhang,natural,V7,Ben Polanco,,Mission Cliffs,indoor
2018-04-13,white,White comp dyno,sloper,face,comp,V8,EZ,,Dogpatch,indoor
2018-04-24,orange,"Orange dyno to sloper, arete",sloper,overhang,natural,V8,Nilo Batle,,Dogpatch,indoor
2018-04-26,green,Green Crimps,crimp,overhang,natural,V7,Nilo Batle,,Mission Cliffs,indoor
2018-05-15,yellow,Yellow slab dyno with crimp finish,jug,slab,dyno,V8,Nick Noel,,Dogpatch,indoor
2018-05-22,black,"Black sloper arete, cut free three times",sloper,arete,natural,V9,Nilo Batle,,Dogpatch,indoor
2018-05-31,purple,"Purple dyno to a crimp rail, then up the face of an arete, dyno finish",crimp,face,natural,V9,Zak Grinstead,,Dogpatch,indoor
2018-06-04,pink,"Pink comp dyno, easy finish",jug,face,comp,V8,Nick Noel,,Dogpatch,indoor
2018-06-09,blue,"Blue blocks, dynamic moves, dyno finish",jug,face,dyno,V8,Ezzy,,Dogpatch,indoor
2018-06-12,orange,"Orange pinches in the cave, crimp finish",pinch,cave,natural,V8,Morgan McGehee,,Dogpatch,indoor
2018-06-13,blue,Blue comp dyno,jug,cave,comp,V7,Nilo Batle,,Dogpatch,indoor
2018-06-17,green,Green jug haul on barrel,jug,overhang,natural,V8,Max Krimmer,,Ironworks,indoor
2018-07-11,pink,Pink triple dyno,sloper,face,comp,V7,Morgan McGehee,,Dogpatch,indoor
2018-07-22,blue,"Blue jugs, super inflated, nearly flashed",jug,face,natural,V8,,,Peak of Fremont,indoor
2018-07-31,yellow,"Yellow crimps, super inflated, first V8 flash",crimp,overhang,natural,V8,Morgan McGehee,,Dogpatch,indoor
2018-08-14,green,"Green crimps on the back wall, campus’ed the crimps",crimp,overhang,natural,V8,Kat Gentry,,Dogpatch,indoor
2018-08-21,green,"Green step up dyno to a sloper, had to two hand grab the finish hold",sloper,face,comp,V8,TCS,,Ironworks,indoor
2018-08-28,red,"Red undercling to two separate crimps, swing feet from left to right, crimp sloper pinch, dyno finish",crimp,overhang,natural,V10,Ben Polanco,,Mission,indoor
2018-09-30,green,"Green slopers, traverse left then right, can also skip holds on the arete",sloper,face,comp,V8,Nick Noel,,Ironworks,indoor
2018-10-05,pink,"Pink prow problem, lock off on right lip crimp, grab a left lip crimp, dynamic move to a sidepull, grab a gaston",crimp,overhang,natural,V9,EZ,,Great Western,indoor
2018-10-09,black,"Black start on sloper, grab a crimp, grab another crimp to prevent a swing, dyno to a donut, mantle to finish hold","crimp, sloper",overhang,natural,V9,Ski,,Diablo Rock,indoor
2018-10-28,purple,"Rainbow rocket emulator, step-up dyno",jug,face,comp,V8,Kessler,,The Studio Climbing,indoor
2018-11-02,pink,"Pink dyno to a sloper on the lip, back wall",sloper,overhang,natural,V9,Radu Popescu,,Dogpatch,indoor
2018-11-23,white,"White swinging jump dyno to an undercling on the left, pinch finish. “6 Minute Drill”","jug, pinch",face,comp,V6,Skilla,,Earthtreks Rockville,indoor
2018-11-23,pink,"Pink bat hang to a face climb on pinches, soft",pinch,overhang,natural,V7,Shane,,Earthtreks Rockville,indoor
2018-11-29,blue,"Blue swinging jump dyno to a jug, crimp finish, Women’s Comp Final #1","jug, crimp",overhang,comp,V7,Sean Nanos,,Dogpatch,indoor
2018-11-30,yellow,Yellow run and jump to pipes,jug,face,comp,V6,,,Planet Granite Sunnyvale,indoor
2018-12-16,orange,Orange run and jump to the right,pinch,face,comp,V6,Kessler,,The Studio Climbing,indoor
2018-12-19,blue,"Blue dynamic moves to a shelf, then a difficult mantle","crimp, sloper",overhang,dyno,V9,Radu Popescu,,Dogpatch,indoor
2019-01-04,green,"Green crimps to pinches, traverse left to finish hold","crimp, pinch",face,natural,V7,,,Climb Central Manilla,indoor
2019-01-12,white,"White dyno start, crimpy finish, on expansion overhang","crimp, sloper",overhang,dyno,V8,Kurt Jalapeno,,Dogpatch,indoor
2019-02-09,purple,"Purple comp dyno to the right, easy finish on jugs",jug,overhang,comp,V6,Kurt Jalapeno,,Dogpatch,indoor
2019-02-26,blue,Blue crimps on the wave,crimp,face,natural,V9,Morgan McGehee,,Dogpatch,indoor
2019-03-05,purple,Purple crimps in the back,crimp,slab,natural,V9,Nilo Batle,,Dogpatch,indoor
2019-03-06,purple,"Purple dyno to a jug, jump dyno to the left, easy finish",jug,face,comp,V7,Nick Noel,,Dogpatch,indoor
2018-04-09,purple,Purple comp dyno,sloper,face,comp,V8,,,Diablo Rock,indoor
2019-05-03,orange,Orange overhung pinches,pinch,overhang,natural,V9,Max Krimmer,,Dogpatch,indoor
2019-05-04,colorless,"Two dynos, followed by sketchy crimps",crimp,overhang,dyno,V9,James Shen,,The Studio Climbing,indoor
2019-05-10,white,"White undercling start, sideways dyno, followed by straight up dyno high off the ground",jug,overhang,natural,V9,Max Krimmer,,Dogpatch,indoor
2019-05-17,orange,Powerful orange pinches,pinch,overhang,natural,V10,Nilo Batle,,Great Western,indoor
2019-06-14,purple,Purple foot chips,crimp,slab,natural,V6,Nilo Batle,,Dogpatch,indoor
2019-06-18,red,"Red crimps, dyno to a jug",crimp,face,natural,V7,Colin Baxter Green,,Diablo Rock,indoor
2019-06-19,orange,"Orange pinches, double-clutch dyno to the left",pinch,overhang,dyno,V6,,,Great Western,indoor
2019-06-24,white,"White dyno start, crimpy finish, on the arch",crimp,overhang,dyno,V9,Max Krimmer,,Dogpatch,indoor
2019-07-21,purple,"Purple plate crimps, dyno to the right, hold the swing, Womxn Up Comp Problem # 58",crimp,overhang,natural,V7,,,Dogpatch,indoor
2019-07-21,blue,"Blue jump dyno to the left, sketchy topout, Womxn Up Comp Problem # 58",crimp,face,comp,V8,,,Dogpatch,indoor
2019-07-23,black,"Black pinches on 30 degree wall, dyno to the top, Womxn Up Comp Problem # 59",pinch,overhang,natural,V8,Zoey Grinstead,,Dogpatch,indoor
2019-08-12,orange,"Orange crimps and pinches, dynamic","crimp, pinch",overhang,natural,V11,,,Dogpatch,indoor
2019-09-28,black,"Black plate crimps, double dyno to the left",crimp,face,dyno,V6,,,Berkeley Ironworks,indoor
2019-10-23,orange,"Orange pinches, pogo dyno, easy mantle",pinch,overhang,dyno,V9,Kurt Jalapeno,,Dogpatch,indoor
2019-11-14,white,"White undercling start, left hand to a plate crimp, pogo to a double clutch, simple dyno to finish",crimp,overhang,comp,V7,EZ,,Berkeley Ironworks,indoor
2019-11-24,red,Red jump-and-catch double clutch dyno,jug,face,comp,V5,,,Sportrock Alexandria,indoor
2019-11-24,red,"Red crimps, traverse left, then straight up an arete, very difficult flash",crimp,face,natural,V6,Alex Brown,,Sportrock Alexandria,indoor
2019-11-24,purple,"Purple crimps, hulk-like right hand cross deadpoint to a crimp, traverse right on crimps",crimp,face,natural,V7,Alex Brown,,Sportrock Alexandria,indoor
2019-11-24,red,"Red jump across the mat onto a jug, pinchy, compression top, Male #2",pinch,overhang,comp,V6,,,Sportrock Alexandria,indoor
2019-11-29,green,"Green undercling to some crimps, traverse right on pinch blocks, desperate last two moves",pinch,face,natural,V8,Jeremiah D Cantrell,,Sportrock Alexandria,indoor
2019-12-15,red,"Red overhanging crimps, toe-hook two moves in",crimp,overhang,natural,V8,,,Berkeley Ironworks,indoor
