index,date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
100130,2017-09-28,blue,"Blue one move wonder start, bump left hand to a crimp and hold the swing, easy topout",crimp,overhang,natural,V8,Buck Yedor,,Dogpatch,indoor
100131,2017-09-30,yellow,"Yellow lieback on a jug, do a rose move while upside-down to a pinch, reach over to a crimp, then swing over. Difficult mantel after the semi-knee bar, slabby topout.","crimp, pinch",overhang,natural,V8,Radu Popescu,,Dogpatch,indoor
100132,2017-10-02,green,Green typical Max problem with dyno and mantle,sloper,face,comp,V7,Max Krimmer,,Dogpatch,indoor
100133,2017-10-03,purple,"Purple arete, overhanging start, powerful move to a crimp, bump up to sloper, traverse left to slopers by toe hooking the sloper, reachy finish","crimp, sloper",arete,natural,V7,,,Peak of Fremont,indoor
100134,2017-10-07,red,"Red dyno/deadpoint to a sloper, move onto crimps, dyno finish, grade was inflated to V9","crimp, sloper",overhang,dyno,V8,Art,,Studio Climbing,indoor
100135,2017-10-09,black,"Black crimps, Advanced Route #1",crimp,overhang,natural,V7,,,Metrorock Everette,indoor
100136,2017-10-21,black,Black arete on slopers,sloper,arete,natural,V7,,,The Cliffs at LIC,indoor
100137,2017-10-28,purple,Purple rainbow rocket emulator,jug,face,comp,V8,Kessler,,Studio Climbing,indoor
100138,2017-11-13,blue,"Blue throw to an arete, toe hook arete, big move to a jug, rose move through a pinch onto slopers",jug,arete,natural,V8,Cath,,Planet Granite Belmont,indoor
100139,2017-11-16,green,Green pipes,"pinch, jug",cave,natural,V7,,,Planet Granite Belmont,indoor
100140,2017-11-18,purple,"Purple slopers, super soft",sloper,overhang,natural,V8,Jonathan Wright,,Dogpatch,indoor
100141,2017-11-19,orange,"Orange dyno to a jug, easy topout",jug,overhang,dyno,V5,Max Krimmer,,Dogpatch,indoor
100142,2017-11-21,orange,Orange crimps,crimp,face,natural,V8,Chaj,,Planet Granite Belmont,indoor
100143,2017-12-03,yellow,"Yellow Comp Problem, back wall, overhang",crimp,overhang,comp,V7,Woman Up,,Dogpatch,indoor
100144,2017-12-08,black,"Black pinches on the mushroom, dyno into a sloper, mantle the topout",pinch,overhang,dyno,V7,Max Krimmer,,Dogpatch,indoor
100145,2017-12-05,orange,"Orange crimps on back topout near the downclimb ladders, sketchy",crimp,slab,comp,V5,Buck Yedor,,Dogpatch,indoor
100146,2017-12-10,green,Green crimps on the wave,crimp,face,natural,V8,Radu Popescu,,Dogpatch,indoor
100147,2017-12-22,orange,"Orange run and jump to pinches, heel-hook dynamic move to a pinch, easy topout",pinch,face,comp,V7,Nilo Batle,,Dogpatch,indoor
100148,2018-01-06,orange,"Orange volumes on the wave, no hands entire route",crimp,slab,natural,V6,,,Dogpatch,indoor
100149,2018-01-13,pink,"Pink jugs to crimps, easy topout, Comp Problem # 50","crimp, jug",overhang,natural,V5,,,Dogpatch,indoor
100150,2018-01-15,blue,Blue comp problem with a dyno and a crimp,crimp,overhang,natural,V8,Radu Popescu,,Dogpatch,indoor
100151,2018-01-15,blue,"Blue crimps, easy intro, hard deadpoint finish",crimp,overhang,natural,V9,Justin Alarcon?,,Dogpatch,indoor
100152,2018-01-17,purple,Purple grapes on the slab,crimp,slab,natural,V5,Radu Popescu,,Dogpatch,indoor
100153,2018-01-20,green,"Green crimps, traverse left, difficult finish",crimp,face,natural,V6,,,The Cliffs at LIC,indoor
100154,2018-01-28,blue,"Blue, two deadpoint moves on crimps underneath the arch, eases up on flakes to a finish jug","crimp, jug",overhang,natural,V8,Ari,,Dogpatch,indoor
100155,2018-02-11,pink,"Pink crimps, rose move to an arete, then a tricky lockoff to a sloper crimp",crimp,face,natural,V10,Nilo Batle,,Dogpatch,indoor
100156,2018-02-13,pink,"Pink crimps to jugs, full campus","crimp, jug",overhang,natural,V6,Max Krimmer,,Dogpatch,indoor
100157,2018-02-24,purple,"Purple dyno to a jug, then up to a plate crimps, then top",jug,face,dyno,V6,Nick Noel,,Dogpatch,indoor
100158,2018-02-27,yellow,Yellow step-up dyno eliminate,jug,face,comp,V5,Zak Grinstead,,Dogpatch,indoor
100159,2018-03-03,blue,"Blue crimps on the cave, full campus",crimp,overhang,natural,V6,Sean Keehan,,Dogpatch,indoor
100160,2018-03-09,black,"Black slopers, come out from under the roof, campus to another sloper, mantle around an arete on a pinch",sloper,cave,natural,V8,Zak Grinstead,,Dogpatch,indoor
100161,2018-03-18,green,"Green so-ill slopers, easy beginning, sketchy top traverse",sloper,face,natural,V8,Zak Grinstead,,Dogpatch,indoor
100162,2018-03-27,purple,Purple run and jump on pinches,pinch,slab,comp,V5,Nick Noel,,Dogpatch,indoor
100163,2018-03-27,black,"Black pinches, dyno for jug at the end",pinch,face,dyno,V6,Ben Polanco,,Dogpatch,indoor
100164,2018-04-09,green,Green everything,"crimp, pinch, sloper",overhang,natural,V7,Ben Polanco,,Mission Cliffs,indoor
100165,2018-04-13,white,White comp dyno,sloper,face,comp,V8,EZ,,Dogpatch,indoor
100166,2018-04-24,orange,"Orange dyno to sloper, arete",sloper,overhang,natural,V8,Nilo Batle,,Dogpatch,indoor
100167,2018-04-26,green,Green Crimps,crimp,overhang,natural,V7,Nilo Batle,,Mission Cliffs,indoor
100168,2018-05-15,yellow,Yellow slab dyno with crimp finish,jug,slab,dyno,V8,Nick Noel,,Dogpatch,indoor
100169,2018-05-22,black,"Black sloper arete, cut free three times",sloper,arete,natural,V9,Nilo Batle,,Dogpatch,indoor
100170,2018-05-31,purple,"Purple dyno to a crimp rail, then up the face of an arete, dyno finish",crimp,face,natural,V9,Zak Grinstead,,Dogpatch,indoor
100171,2018-06-04,pink,"Pink comp dyno, easy finish",jug,face,comp,V8,Nick Noel,,Dogpatch,indoor
100172,2018-06-09,blue,"Blue blocks, dynamic moves, dyno finish",jug,face,dyno,V8,Ezzy,,Dogpatch,indoor
100173,2018-06-12,orange,"Orange pinches in the cave, crimp finish",pinch,cave,natural,V8,Morgan McGehee,,Dogpatch,indoor
100174,2018-06-13,blue,Blue comp dyno,jug,cave,comp,V7,Nilo Batle,,Dogpatch,indoor
100175,2018-06-17,green,Green jug haul on barrel,jug,overhang,natural,V8,Max Krimmer,,Ironworks,indoor
100176,2018-07-11,pink,Pink triple dyno,sloper,face,comp,V7,Morgan McGehee,,Dogpatch,indoor
100177,2018-07-22,blue,"Blue jugs, super inflated, nearly flashed",jug,face,natural,V8,,,Peak of Fremont,indoor
100178,2018-07-31,yellow,"Yellow crimps, super inflated, first V8 flash",crimp,overhang,natural,V8,Morgan McGehee,,Dogpatch,indoor
100179,2018-08-14,green,"Green crimps on the back wall, campus’ed the crimps",crimp,overhang,natural,V8,Kat Gentry,,Dogpatch,indoor
100180,2018-08-21,green,"Green step up dyno to a sloper, had to two hand grab the finish hold",sloper,face,comp,V8,TCS,,Ironworks,indoor
100181,2018-08-28,red,"Red undercling to two separate crimps, swing feet from left to right, crimp sloper pinch, dyno finish",crimp,overhang,natural,V10,Ben Polanco,,Mission,indoor
100182,2018-09-30,green,"Green slopers, traverse left then right, can also skip holds on the arete",sloper,face,comp,V8,Nick Noel,,Ironworks,indoor
100183,2018-10-05,pink,"Pink prow problem, lock off on right lip crimp, grab a left lip crimp, dynamic move to a sidepull, grab a gaston",crimp,overhang,natural,V9,EZ,,Great Western,indoor
100184,2018-10-09,black,"Black start on sloper, grab a crimp, grab another crimp to prevent a swing, dyno to a donut, mantle to finish hold","crimp, sloper",overhang,natural,V9,Ski,,Diablo Rock,indoor
100185,2018-10-28,purple,"Rainbow rocket emulator, step-up dyno",jug,face,comp,V8,Kessler,,The Studio Climbing,indoor
100186,2018-11-02,pink,"Pink dyno to a sloper on the lip, back wall",sloper,overhang,natural,V9,Radu Popescu,,Dogpatch,indoor
100187,2018-11-23,white,"White swinging jump dyno to an undercling on the left, pinch finish. “6 Minute Drill”","jug, pinch",face,comp,V6,Skilla,,Earthtreks Rockville,indoor
100188,2018-11-23,pink,"Pink bat hang to a face climb on pinches, soft",pinch,overhang,natural,V7,Shane,,Earthtreks Rockville,indoor
