index_,date_,location_type,grade,display_grade,location,color,description,wall_type,hold_type,style,setter
100084,2017-04-18,indoor,5,V5,Dogpatch,purple,"Purple crimps, heel hook starting crimp, left hand into another crimp, dyno to topout",face,crimp,natural,Joshua-Ski
100085,2017-04-26,indoor,5,V5,Dogpatch,green,"Green start on sidepulls, dyno to a crimp, jugy finish",overhang,"crimp, jug",dyno,Radu Popescu
100086,2017-04-28,indoor,6,V6,Dogpatch,green,"Green so-ill slopers, traverse right",slab,sloper,natural,Zak Grinstead
100087,2017-05-02,indoor,5,V5,Dogpatch,purple,"Purple dragon ball holds, mantle",face,sloper,mantle,LM
100088,2017-05-02,indoor,6,V6,Dogpatch,white,"White crimps on the front arch, soft, finished in 12 seconds",overhang,crimp,natural,Ben-BD
100089,2017-05-03,indoor,6,V6,Dogpatch,black,Easy black comp problem with large sloper volumes (misgraded as V8),overhang,sloper,comp,Radu Popescu
100090,2017-05-09,indoor,7,V7,Dogpatch,purple,Purple three dynos in a row,face,jug,dyno,Sean Nanos
100091,2017-05-13,indoor,6,V6,Dogpatch,white,White sidepull on slopers,slab,sloper,natural,Justin Alarcon
100092,2017-05-13,indoor,6,V6,Dogpatch,orange,Orange pinches to crimps,face,"crimp, pinch",natural,Zak Grinstead
100093,2017-05-18,indoor,6,V6,Dogpatch,yellow,"Yellow volumes, mantle onto first volume, push on a ceiling, dyno to the top",face,jug,mantle,Sean Nanos
100094,2017-05-19,indoor,8,V8,Dogpatch,orange,Orange pinches all the way,overhang,pinch,natural,Ben Polanco
100095,2017-05-19,indoor,8,V8,Dogpatch,red,"Red cave dyno, slopers at the lip",cave,"crimp, jug, sloper",dyno,Sean Nanos
100096,2017-05-22,indoor,7,V7,Dogpatch,purple,"Purple Sideways Dyno, then dyno finish",overhang,jug,dyno,Zak Grinstead
100097,2017-05-31,indoor,5,V5,Dogpatch,yellow,Yellow jugs on the low roof,cave,jug,natural,Hiro
100098,2017-06-01,indoor,7,V7,Mission Cliffs,yellow,"Yellow arete in Mission Cliffs, big reaches, big holds",arete,jug,natural,LM
100099,2017-06-02,indoor,7,V7,Dogpatch,red,"Red, traverse around arete, two opposing sidepulls",face,crimp,natural,LM
100100,2017-06-05,indoor,8,V8,Dogpatch,black,"Black balancey moves, double clutch finish",face,sloper,comp,Radu Popescu
100101,2017-06-07,indoor,7,V7,Dogpatch,orange,"Orange dyno to a jug, then bathang, traverse underneath, crimp and pinch finish",cave,sloper,dyno,Sean Nanos
100102,2017-06-12,indoor,7,V7,Dogpatch,blue,"Blue crimpy, balancey start to a sloper, undercling dyno to the top, kid's wall",slab,crimp,natural,Zak Grinstead
100103,2017-06-13,indoor,7,V7,Dogpatch,yellow,"Yellow traverse to arete, bicycle a pinch, then dyno finish from a sidepull",slab,crimp,natural,Ben-BD
100104,2017-06-13,indoor,7,V7,Dogpatch,yellow,Yellow run and jump,slab,jug,dyno,Clinic
100105,2017-06-21,indoor,7,V7,Ironworks,white,"White traverse right, then traverse left, campus on crimps",face,crimp,natural,Max Krimmer
100106,2017-07-17,indoor,7,V7,Dogpatch,orange,"Orange run and jump, comp problem 58",face,jug,comp,Woman Up
100107,2017-07-23,indoor,7,V7,Dogpatch,black,Black dyno to half crescent jug on the wave,face,"jug, sloper",dyno,Max Krimmer
100108,2017-07-25,indoor,8,V8,Dogpatch,white,"White Comp Problem Number 61, dyno from an undercling, ",overhang,pinch,natural,Woman Up
100109,2017-08-01,indoor,7,V7,Dogpatch,black,Black dyno to a half crescent sloper on the back wall,face,"jug, sloper",dyno,Max Krimmer
100110,2017-08-09,indoor,7,V7,Dogpatch,pink,"Pink Comp Problem Number 52, Dynamic movements between jugs",overhang,jug,comp,Woman Up
100111,2017-08-16,indoor,7,V7,Dogpatch,green,"Green Zak, two dynos to the top",overhang,sloper,dyno,Zak Grinstead
100112,2017-08-18,indoor,7,V7,Dogpatch,green,"Green Comp Problem Number 56, So-Ill bubbles",face,sloper,comp,Woman Up
100113,2017-08-20,indoor,7,V7,Dogpatch,pink,"Pink deadpoint to a right hand sloper, reachy left hand before top out",face,sloper,natural,Max Krimmer
100114,2017-08-20,indoor,7,V7,Dogpatch,orange,"Orange Comp Problem Number 54, Jug start, left hand crimp to a hand jam, then crimps up. First V7 flash",face,crimp,comp,Woman Up
100115,2017-08-20,indoor,9,V9,Dogpatch,white,"White undercling start, dynamic move to a pinch, match on sloper, dynamic move to crimp, crimpy finish",overhang,"crimp, pinch",natural,Morgan McGehee
